Title,Description,Vacancies,Location,Min Education,Min Experience,Apply Before,URL
Consultant for The Training of Teachers on the Rationalized Curriculum for Multi,"The purpose of this assignment is to provide technical assistance to the Directorate of Curriculum & Teacher Education (DCTE) for improved Students Learning Outcomes of children in multigrade settings in public schools of KP: In order to achieve this, the consultant will work with DCTE and undertake the following tasks: Duties and Responsibilities:Develop a teacher training program to prepare teachers for multigrade situations and foundational skills,Prepare teacher training materials,Support training of master trainers,Support the training of teachers in teaching methodologies for multigrade situations and foundational skills.Essential RequirementsAn advanced university degree (Master’s or above) in one of the following fields is required: education, economics, psychology, sociology, or another relevant technical field.A minimum of five years of experience in technical assistance and/or management of Education Sector programs to improve learning outcomes.Experience with foundational literacy and numeracy.A minimum of five years of experience in the development of Teaching/learning Material and formative assessment tools.Experience in conducting training sessions in the field of education on different tiers.Experience in applied qualitative/quantitative research techniques, particularly in-depth questionnaires and observational assessments.Capacity to complete the study on the timeline outlined, including the ability to mobilize technical and field capacity in order to begin preparatory and field work shortly after the signing of the contract.Strong capacity in report writing, and presentation",1 Post,"Abbottabad, Pakistan",Masters,5 Years - 7 Years,6-Jul-23,https://www.rozee.pk/micromerger-pvt-ltd-consultant-for-the-training-of-teachers-on-the-rationalized-curriculum-for-multi-abbottabad-jobs-1387335?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387335&utm_campaign=ROZEE.PK_job_search
Recruitment Specialist,"Job Duties and Responsibilities: 1. Must assist HR managers with the daily HR operations and processes.2. Develop strategies and implement changes that improve job knowledge.3. Collaborate with the Manager to systematically manage the business’s HR policy4. Managing employee’s issues and complaints. 5. Assist the HR department in the hiring process.6. Need to source the candidates from the various recruiting agencies and the ads posted online.7. Must be good in conducting telephonic interview and face to face interviews.8. Adhering to all the company’s rules and regulations.9. Working experience with the Human Resources Management software like SAP, HRM will be preferred.Required Skills: Strong customer service and technical support skillsExcellent English communication and problem-solving skillsStrong ability to multitask and prioritizeExperience with SAP and other software like CRM is a plusAbility to work effectively in a team-oriented environment Salary + Benefits: Salary (As per the Interview)EOBIProvident FundMonthly Performance based BonusAppreciation based Lunch/Dinner/TripsBi-Annual Increments + Performance-based Increments on Salary",10 Posts,"Lahore, Pakistan",Bachelors,3 Years,7-Jul-23,https://www.rozee.pk/affinityvibez-pvt-ltd-recruitment-specialist-lahore-jobs-1387741?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387741&utm_campaign=ROZEE.PK_job_search
Commercial Development Coordinator,"Role: Commercial Development CoordinatorGrade: 8 or 9 (Internal use only)The Team: The Commercial Development Team is a global team. We are self-motivated, spirited and passionate, with a client first mind-set. We are resilient, flexible and value excellence in execution. Overall, the team works passionately to create more sales opportunities for revenue growth and filling the top of the funnel with qualified leads. The Impact: As a Sales Development Process Specialist, he/she will be responsible in delivering new ideas and processes that will make the Prospecting work more effective and efficient at a global level, with increase in overall performance of the team as the main goal.Responsibilities:Point person to onboard new hires and get them up to speed on the Prospecting responsibilities, this is on top of the Learning Exchange modules.Identify effective prospecting strategies by looking into SFDC and speaking with the high performing CDRs’, find out what are working for them and share this to a wider group.Continuously identifying effective campaign strategies that are yielding high results and efficiency. Then develop the most effective way to communicate it to the entire Global Prospecting team.Help with creating effective campaign templates, which can be used by everyone.Keep himself/herself up-to-date on the market trends that will help identify new campaign ideas that can be rolled out – either by segment, region, industry, or product.This person is still expected to do prospecting work and help create sales pipeline.Qualifications:At least 6 months in Sales Development RoleMust have a good understanding of different Market Intelligence solutions and how it caters to different segments and personas.Must have finished at least one Upskilling course in the Education platformKnowledge of the financial industry and/or financial divisions/departments a plusMust have a strong research skills and desire in looking for new ways in increasing process efficiencyA proven track record of strong client relationships with excellent client service skillsGoal and action orientated, with ability to work towards targetsSolid organization, multi-tasking, prioritization, and presentation skills.Strong communication skills, both verbal and written with the ability to engage with different audience level. Strong MS office (Word, Excel, PowerPoint) skills are required.Collaborative and supportive. You love working with, listening to, and understanding others.About S&P Global:S&P Global delivers essential intelligence that powers decision making. We provide the world’s leading organizations with the right data, connected technologies and expertise they need to move ahead. As part of our team, you’ll help solve complex challenges that equip businesses, governments and individuals with the knowledge to adapt to a changing economic landscape.S&P Global Market Intelligence At S&P Global Market Intelligence, we know that not all information is important—some of it is vital. Accurate, deep and insightful. We integrate financial and industry data, research and news into tools that help track performance, generate alpha, identify investment ideas, understand competitive and industry dynamics, perform valuation and assess credit risk. Investment professionals, government agencies, corporations and universities globally can gain the intelligence essential to making business and financial decisions with conviction. S&P Global Market Intelligence is a division of S&P Global (NYSE: SPGI), which provides essential intelligence for individuals, companies and governments to make decisions with confidence. For more information, visit www.spglobal.com/marketintelligence. S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.If you need an accommodation during the application process due to a disability, please send an email to: and your request will be forwarded to the appropriate person. -----------------------------------------------------------Equal Opportunity EmployerS&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment. If you need an accommodation during the application process due to a disability, please send an email to: and your request will be forwarded to the appropriate person. US Candidates Only: The EEO is the Law Poster describes discrimination protections under federal law. -----------------------------------------------------------406 - Entry Professional - Inside Sales (EEO Job Group) (inactive), 40 - Sales (EEO-2 Job Categories-United States of America), SLSINS406 - Entry Professional-Sales (EEO Job Group)",1 Post,"Islamabad, Pakistan",Null,Null,14-Jun-23,https://www.rozee.pk/sp-global-market-intelligence-commercial-development-coordinator-jobs-1380547?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1380547&utm_campaign=ROZEE.PK_job_search
Closer - Final Expense,"We are looking for closers for final expense campaign, who have 1 to 2 years of experience.𝐒𝐚𝐥𝐚𝐫𝐲: 60,000/PKR To 100,000/-PKR Monthly plus attractive Bonuses / Incentives.𝐖𝐨𝐫𝐤𝐢𝐧𝐠 𝐃𝐚𝐲𝐬: Monday to Friday𝐒𝐡𝐢𝐟𝐭 𝐓𝐢𝐦𝐢𝐧𝐠𝐬: Night ShiftBenefits:Sales Commission.Weekly/Monthly Bonuses.Paid Leaves.Saturday & Sunday Off.Yearly Increment.𝗘𝗹𝗶𝗴𝗶𝗯𝗶𝗹𝗶𝘁𝘆:The candidate is required for Closing and Client Service.Candidate must be punctual, a hard worker, regular, self-motivated with abilities to manage given tasks on time.The candidate is required to take Sales and Escalation calls from the agents in our outbound sales departmentWe are looking for the finest individuals with excellent Verbal communication skills, Individuals who have the desire to learn, develop and achieve the highest standards.The Candidate must be target-oriented and highly motivated.The Candidate must not be enrolled in any educational program or involved in any full/part-time job.Willing to work for a minimum of 12 months at least and sign a one year contract.",10 Posts,"Islamabad, Rawalpindi, Pakistan",Intermediate/A-Level,1 Year - 2 Years,6-Jul-23,https://www.rozee.pk/prime-bpo-closer-final-expense-islamabad-rawalpindi-jobs-1387495?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387495&utm_campaign=ROZEE.PK_job_search
Senior Technical Writer,"About your jobChartIQ is seeking a Senior Technical Writer to produce and own all publicly shared technical documentation, training and reference material for our HTML5 Charting Library (), to ensure it is concise, easy to understand and current. In addition, you will work with the Product and Marketing teams to promote and position the product.The successful candidate will be a hands-on user of our software platform & tools, and independently produce customer facing documentation that will cover the full range from low-level API's to architecture diagrams and how-to guides, including producing sample code to showcase the use of the API. Candidates should have solid software development experience as well as superior communication skills. This role will work, as part of our development, team to maintain and extend our developer portal (documentation.chartiq.com)Specific Responsibilities:A Technical Writer must be able to communicate complex information clearly, concisely and accurately, and without relying on jargon. Your role involves tasks such as writing conceptual overviews and procedures, reading and writing example code, or updating help center queries and FAQs. As a Technical Writer at ChartIQ you will be a key link between Client Developers, ChartIQ Engineers, Product Managers, and Marketing.Design and organize documentation sets for new APIs and developer products.Create and organize internal technical information for developer processes, product features and new technologies.Create technical documentation for our open sourced products.Identify and propose solutions for major improvements to processes.Supplement documentation with relevant sample code and/or visuals needed to enhance the written word.About you5+ years experience writing documentation for developers (APIs, SDKs, web technologies) and other forms of technical content for software applications.You have tackled internal and external documentation projects that have made life easier for developers of all experience levels.Technical skillsYou are able to understand and then explain highly technical information leveraging a background in engineering or computer science in order to do this.You are comfortable with HTML and CSS; proficiency in a UNIX environment.You have previous experience with and know your way around wikis, blogs, and GitHub.Communication and TeamworkYou are able to take complex, technical information and translate it for colleagues and consumers who have nontechnical backgrounds.You ask the right questions and get the right details from highly technical and very busy people. You like to work cross-functionally with product managers, account managers, project managers and technical teams.Motivated and OrganizedYou are highly organized, self-motivated and love to bring order to chaos. You are a detail oriented person who can clearly state every step so that the instructions can be useful.You like to use your imagination to think about a procedure or product in the way that a person without technical experience would think about it.You have a natural curiosity for learning how things work.You’re not afraid of adjusting to changes midstream and are excited about using your creativity to solve problems.Bachelor’s degree in Technical Writing, Technical Communication, English or a related field-----------------------------------------------------------Equal Opportunity EmployerS&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment. If you need an accommodation during the application process due to a disability, please send an email to: and your request will be forwarded to the appropriate person. US Candidates Only: The EEO is the Law Poster describes discrimination protections under federal law. -----------------------------------------------------------20 - Professional (EEO-2 Job Categories-United States of America), IFTECH202.2 - Middle Professional Tier II (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)",1 Post,"Islamabad, Pakistan",Null,Null,21-Jun-23,https://www.rozee.pk/sp-global-market-intelligence-senior-technical-writer-jobs-1383219?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1383219&utm_campaign=ROZEE.PK_job_search
Assistant Accountant,"Hiring for our client who has flourished to transform into a renowned, client-centered, well-respected, mid-sized accounting firm in the United Kingdom, offering a comprehensive spectrum of accounting, tax, and financial services to clients since June 2010, with the agenda of having a mutual financial gain within the UK regulatory system. The firm is organized and aimed to provide a significant number of resources to its clients; hence, is also structured to ensure each client receives professional, one-on-one attention, and customized service.Job Description: Gathering client data through phone and email for Tax/VAT returns, Annual Accounts, and Payroll/Pension processing. Saving data in a prescribed manner and organizing in logical order. Bookkeeping and processing of all the financial data received from firm's clients. Preparing Company tax returns, VAT returns, and personal tax returns along with monthly and annual records on commonly used accounting Software such as QuickBooks, XERO, VT, Tax Filer, or similar. Solving Client's daily issues with authorities such as HMRC, Companies House and Pension authorities on call. Handling posts and disseminate and save them as per acceptable practice,if based at one of our offices.",1 Post,"Gujranwala, Pakistan",Bachelors,1 Year - 2 Years,7-Jul-23,https://www.rozee.pk/hr-ways-private-limited-assistant-accountant-gujranwala-jobs-1387781?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387781&utm_campaign=ROZEE.PK_job_search
Business Coordinator,"We are looking for the services of the ""Business Coordinator ""Relevant candidates are encouraged to apply.",1 Post,"Islamabad, Pakistan",Bachelors,1 Year,6-Jul-23,https://www.rozee.pk/srb-business-center-business-coordinator-islamabad-jobs-1386913?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1386913&utm_campaign=ROZEE.PK_job_search
Graphic Designer,"Responsibilities:E-commerce Graphics (Amazon, ebay etc. ) .Social Media Post Designing : Excellent command on Adobe family products is required for this job especially Adobe Photoshop, Illustrator & IndesignYour Daily Tasks: Implementing state of the art, graphic design for e-commerce product listings as well as graphics for the homepages and social media We are looking for:",1 Post,"Sialkot, Pakistan",Intermediate/A-Level,5 Years,7-Jul-23,https://www.rozee.pk/med-trust-graphic-designer-sialkot-jobs-1387967?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387967&utm_campaign=ROZEE.PK_job_search
Fiber Technician (Laminator),"He/she shall be responsible for providing Fiber Technician related support whereby facilitating vigilance towards all official building, temporary / fixed assets therein and official documents, files etc. being maintained at the Boatyard.Key Duties / Responsibilities:Resolve, repair and install fiber optics systems and ensure that they work properly Examine and replace faulty and old fiber optic cables and also organize scheduled maintenance routines Take care of fiber splicing and rectify fiber optic problem areas Ensuring tasks are completed and updating the operations manager on daily basis. Make sure equipment’s are well kept and taken care of. Actively participate in Human Resources, Learning and Development initiatives that will help the departments to deliver higher levels of service to our clients and our compliance to good health and safety practices at the workplace. To support by assisting with on-the-job training and orientation of new team members/trainees and other reasonable requests in order to improve the performance and service standards of our team.",2 Posts,"Male, Maldives",Certification,5 Years,6-Jul-23,https://www.rozee.pk/universal-boatyard-fiber-technician-laminator-male-jobs-1387431
Closer - Final Expense,"We are looking for closers for final expense campaign, who have 1 to 2 years of experience.𝐒𝐚𝐥𝐚𝐫𝐲: 60,000/PKR To 100,000/-PKR Monthly plus attractive Bonuses / Incentives.𝐖𝐨𝐫𝐤𝐢𝐧𝐠 𝐃𝐚𝐲𝐬: Monday to Friday𝐒𝐡𝐢𝐟𝐭 𝐓𝐢𝐦𝐢𝐧𝐠𝐬: Night ShiftBenefits:Sales Commission.Weekly/Monthly Bonuses.Paid Leaves.Saturday & Sunday Off.Yearly Increment.𝗘𝗹𝗶𝗴𝗶𝗯𝗶𝗹𝗶𝘁𝘆:The candidate is required for Closing and Client Service.Candidate must be punctual, a hard worker, regular, self-motivated with abilities to manage given tasks on time.The candidate is required to take Sales and Escalation calls from the agents in our outbound sales departmentWe are looking for the finest individuals with excellent Verbal communication skills, Individuals who have the desire to learn, develop and achieve the highest standards.The Candidate must be target-oriented and highly motivated.The Candidate must not be enrolled in any educational program or involved in any full/part-time job.Willing to work for a minimum of 12 months at least and sign a one year contract.",10 Posts,"Islamabad, Rawalpindi, Pakistan",Intermediate/A-Level,1 Year - 2 Years,7-Jul-23,https://www.rozee.pk/prime-bpo-closer-final-expense-islamabad-rawalpindi-jobs-1387993?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387993&utm_campaign=ROZEE.PK_job_search
Medical Officer,"Ujala&Umeed Trust invites applications from qualified and experienced candidates, for appointment on a contract basis against the post of Medical Officer (MO) for UJALA & UMEED Medical Complex. Details of the position and placement is as under.Be responsible to examine patients visiting the Clinics with computer mounted digital diagnostic equipment i.e.,Digital Stethoscope, Vital Sign Monitor, Ultrasound Probe etc.Advise prescription and to keep soft record of all the patients visiting clinics for reference and future follow-up.",2 Posts,"Hazro, Pakistan",MBBS,Fresh - 5 Years,6-Jul-23,https://www.rozee.pk/ujala-umeed-medical-complex-medical-officer-hazro-jobs-1387145?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387145&utm_campaign=ROZEE.PK_job_search
Lead WordPress Developer,"Good understanding of front-end technologies, including HTML5, CSS3, JavaScript, jQuery.Experience building user interfaces for websites and/or web applications.Experience designing and developing responsive design websites.Comfortable working with debugging tools like Firebug, Chrome inspector, etc.Ability to understand CSS changes and their ramifications to ensure consistent style across platforms and browsers.Ability to convert comprehensive layout and wireframes into working HTML pages.Knowledge of how to interact with RESTful APIs and formats (JSON, XML).Proficient understanding of code versioning tools {{such as Git, SVN, and Mercurial}}.Strong understanding of PHP back-end development.Designing and implementing new features and functionality.Establishing and guiding the website’s architecture.Ensuring high-performance and availability, and managing all technical aspects of the CMS.Helping formulate an effective, responsive design and turning it into a working theme and plugin.Collaborate with other team members in order to meet deadlines.Speak directly with clients to collect feedback on milestone deliverables and implement into design.Understand customer needs, motivations, and behaviors to translate them into website design.Develop and implement custom design, features, and functionality for clients.",2 Posts,"Rawalpindi, Pakistan",Bachelors,3 Years,7-Jul-23,https://www.rozee.pk/nobility-medical-billing-service-lead-wordpress-developer-rawalpindi-jobs-1387587?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387587&utm_campaign=ROZEE.PK_job_search
Associate Software Architect,"Main Responsibilities:Design & Develop Software Architecture and applications as per specification by following the guidelines and best practicesDevelop REST & GraphQL APIsEnsure the quality of code through guidelines and unit testingParticipate in scrum meetings to ensure the delivery as per planMaintain and support software applications in different stagesR&D to explore the new technologies and trendsRequired Skill Set:Strong software engineering fundamentals in OOAD, design patterns, MVC, data structures, algorithms etc.Experience of C#, .NET Core, ReactJS, AngularJS, Typescript, CSS, HTML, SQL Server or other RDBMS, Entity Framework CoreExperience of Rest & GraphQL APIs developmentExperience with source control (Git, SVN) & unit testing toolsKnowledge of Golang, NoSQL and Graph Database would be plusStrong interpersonal, written, and verbal communication skillsAbility to perform comfortably in a fast-paced, deadline-oriented, agile environmentSelf-motivated, quick learner and a responsive team playerStrong Problem-solving, debugging and analytical skillsKnowledge and understanding of microservices",2 Posts,"Karachi, Pakistan",Bachelors,12 Years - 14 Years (Must have 12-14 years of experience in relevant field),8-Jul-23,https://www.rozee.pk/pakistan-single-window-associate-software-architect-karachi-jobs-1388105?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1388105&utm_campaign=ROZEE.PK_job_search
Manager Sales,We are looking for the services of the Manager Sales.Relevant candidates are encouraged to apply.,1 Post,"Faisalabad, Pakistan",Bachelors,2 Years,6-Jul-23,https://www.rozee.pk/tahir-rafique-textiles-manager-sales-faisalabad-jobs-1387267?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387267&utm_campaign=ROZEE.PK_job_search
Regional Finance Coordinator,"Islamic Relief Worldwide is an independent humanitarian and development organization, serving humanity for over 36 years. With an active presence in over 40 countries across the globe, we strive to make the world a better and fairer place for those affected by poverty, conflicts and natural disasters.Our Regional Finance Team are currently recruiting for the position of Regional Finance Coordinator. The RFC will;1- Provide financial support to the regional office and support the capacity building of country office finance staff under the supervision of Regional Finance Manager.2. Maintain good relations and understanding between IRW, Regional and Country offices and finance functions on a regular basis.3. Review budget proposals, monthly financial information, review funds transfer requests, consolidate reports and produce timely and accurate financial information at regional level.The successful candidate must have or be:1. Good management and financial accounting experience, including a pro-active approach to budget monitoring, reporting etc. with 5-7 years’ experience.2. Degree in Accountancy/Finance and Intermediate Level Qualified or studying final level of AAT/ACCA/CIMA/ICAEW or equivalent professional qualifications.3. Experience of donor, financial accounting, budgets and yearend financial reporting. 4. Excellent communication skills to liaison with regional assigned countries. Strong English communication skills (verbal as well as writing.5. Advance excel skills; in designing and manipulating reports.6. Ability to manage workload of multiple and remote locations, ability to think strategically.7. Ability to work as a team player in a multinational national environment.8. Verbal skills to communicate with all levels in an organization and explain technical or complex financial aspects in a wide range of situations.9. Must have previous exposure and experience of preparing /reviewing budgets.10. Experience of budgeting for project activities, monitor and report on financial activities and undertaken appropriate analysis.11. Good all round business acumen and an understanding of the role of the Finance department in adding value to operational decision making.12. Experience of donor’s financial compliance.If you are talented, reliable, service minded, resilient and a highly motivated professional looking for a meaningful career, with a strong commitment to IRW’s mission and values of sincerity, excellence, compassion, social justice and custodianship, please apply by completing our online application form.Only shortlisted candidates will be contacted.Pre-employment Checks: Any employment with Islamic Relief will be subject to the following checks:Screening clearanceReceipt of satisfactory referencesOur values and commitment to safeguarding.IRW is committed to preventing any type of unwanted behavior at work including sexual harassment, exploitation and abuse, lack of integrity and financial misconduct; and committed to promoting the welfare of children, young people, adults and beneficiaries with whom IRW engages. IRW expects all staff and volunteers to share this commitment through our code of conduct. We place a high priority on ensuring that only those who share and demonstrate our values are recruited to work for us.The post holder will undertake the appropriate level of training and is responsible for ensuring that they understand and work within the safeguarding policies of the organization.All offers of employment will be subject to satisfactory references and appropriate screening checks, which can include criminal records checks. IRW also participates in the Inter Agency Misconduct Disclosure SchemeIn line with this Scheme, we will request information from job applicants’ previous employers about any findings of sexual exploitation, sexual abuse and/or sexual harassment during employment, or incidents under investigation when the applicant left employment.By submitting an application, the job applicant confirms his/her understanding of these recruitment procedures.Applicants should be sympathetic to the values of Islamic Relief:(Sincerity, Excellence, Compassion, Social Justice and Custodianship)Islamic Relief is an equal opportunities employer",1 Post,"Islamabad, Pakistan",Bachelors,5 Years - 7 Years,6-Jul-23,https://www.rozee.pk/islamic-relief-pakistan-regional-finance-coordinator-islamabad-jobs-1387221?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387221&utm_campaign=ROZEE.PK_job_search
Guard,"Managing incoming and outgoing individuals/visitors.Opening and closing the gate.Applying security rules and protocols.Preventing access to anyone carrying a weapon.Carrying out patrols within the premises.Managing office building after office hours, (checking that windows and doors are closed properly, at night and outside working or opening hours)Being alert to and reporting incidents according to established protocol.Reporting damage or malfunctions found on equipment or premises.Guiding vehicles entering and leaving the premises.Conducting minor maintenance of the exterior lighting, generator, and water pump.Checking and filling tanks (water, generator fuel)Starting generator when required. Recording operating hours and fuel consumption of the generator.Assisting with loading and unloading vehicles.Keeping exteriors clean (waste removal, cleaning aisles, courtyard, etc.)Carrying out minor gardening duties, watering plants.",2 Posts,"Lower Dir, Pakistan",Matriculation/O-Level,1 Year (1 year of experience with INGOs on similar position is desirable.),7-Jul-23,https://www.rozee.pk/job/detail/1387633?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387633&utm_campaign=ROZEE.PK_job_search
Polymer Chemist,"Job Title: Polymer ChemistCompany: Muraspec Department: TechnicalReporting To: Managing DirectorLocation: East PeckhamMuraspec Decorative Solutions is a well-respected designer, manufacturer and distributor of commercial and high-end residential vinyl wallcoverings. The company is well established in both the UK market and overseas. Passionate about customer service, Muraspec is committed to long-term relationships with its customers and employees, who are empowered to take responsibility for their individual contributions to the Company’s success. Main Aim of the Job Responsible for polymer formulations and the development of new novel formulations and processes in the manufacturing of wallcoverings. Managing Fire Testing routines and providing technical input and support.Role AccountabilitiesDeveloping new formulations for polymer (PVC) wallcoverings and processes in response to customer, market and regulatory requirements in collaboration with the manufacturing, design and product development teams.Working with colleagues and customers to create new product constructions or types that increase the flexibility and range of products that can be manufactured by the companyImproving the existing polymer formulations and compounds to meet the changing market and environmental trendsInvestigate and help resolve any issues that may arise to achieve desired results. Evaluation of new and alternative raw materials to achieve product benefits such as cost savings, environmental or enhancements to safety.Development and control of PVC and other polymers’ paste formulationsParticipation in the PVC and other polymers’ (including plastisol) mixing procedures Handling of the ink formulations and investigating new inks systemsControl and management of Fire Regulations and TestingApproval of raw materialsControl of documentation and reportingAdherence to safety guidelines and protocols Technical & Personal CompetenciesGood knowledge of and experience in Polymers, plastisol, plastics, printing and related manufacturing processes.Technical ability – Degree/Masters level Science/Plastics technology Knowledge and experience of Fire Retardant materials in polymersGood interpersonal skills, confidence, tact, diplomacyFlexible and calm in a rapidly changing and demanding environmentGood attention to detail Qualification, Experience & BackgroundDevelopment role experience in Polymers, Plastics, Chemical or converting industryTechnical ManagementManagement systems experience including ISO 9001 and ISO 18001Chemicals safety",1 Post,"Kent, United Kingdom",Masters,2 Years,7-Jul-23,https://www.rozee.pk/ssa-soft-pvt-ltd-polymer-chemist-kent-jobs-1387785
Front Desk Officer,We are looking for the services of the Front Desk Officer.Relevant candidates are encouraged to apply.,1 Post,"Lahore, Pakistan",Intermediate/A-Level,Fresh - Less than 1 Year,6-Jul-23,https://www.rozee.pk/sanabel-ventures-front-desk-officer-lahore-jobs-1387261?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387261&utm_campaign=ROZEE.PK_job_search
Software Developer I (JAVA - IBM Open Pages),"The Role: Software Developer (JAVA - IBM Open Pages)The Team: The team is responsible for implementing GRC solution for corporate risk group across the board. As a developer, you will be part of a scrum team of developers focused on delivering and implementation of Enterprise and Technology risk requirements using IBM Open Pages tool .The role requires design, implementation, testing, and maintenance of features, including collaboration with IBM technology team to ensure timely delivery. The Impact: The role provides exposure to the S&P Risk framework, business and functional model. This position closely works with the business team to understand their requirements and with the Vendor to implement the solution. The applications being worked on are extremely important and highly critical to the business. This position is extremely important to deliver what our customer needs and have faster time to market.What’s in it for you: Be the part of a dynamic Compliance and Risk department that works on initiatives that will directly contribute to Company’s strategy. The position requires daily interaction with senior leaders throughout S&P Global and touches upon all aspects of Compliance and Risk. As a senior developer, you will have the opportunity to collaborate with tech leads, business analysts and Product owners who are experts in their domain that can help you to build multiple skillsets.Responsibilities: Participate in discovery sessions to understand the business requirementsCollaborate with the internal and IBM to do the configurations in Open Pages based on the business use cases.Create and maintain AFCON worksheet.Create profiles, views, triggers, Task focused UI, roles and security profiles in Open Pages.Open pages integration with other systems using APIWhat We’re Looking For: Basic Qualifications:1 – 3 years of experience with Information TechnologyExperience in development, configuration, solutions evaluation, validation, and deployment in IBM Open pagesExperience in front end programming using Java, Python etc.Experience in reporting tools like Cognos Analytics is a plus.Excellent organizational skills with the ability to multi-task and prioritize in a dynamic work environment.Strong interpersonal skills – Well developed communication and diplomacy skills to exchange complex informationReturn to Work: Have you taken time out for caring responsibilities and are now looking to return to work? As part of our Return-to-Work initiative (link to career site page when available), we are encouraging enthusiastic and talented returners to apply, and will actively support your return to the workplace.Grade/Level: 8The Location: Islamabad, PakistanAbout Company Statement: S&P Global delivers essential intelligence that powers decision making. We provide the world’s leading organizations with the right data, connected technologies and expertise they need to move ahead. As part of our team, you’ll help solve complex challenges that equip businesses, governments and individuals with the knowledge to adapt to a changing economic landscape.#LI-USA-----------------------------------------------------------Equal Opportunity EmployerS&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment. If you need an accommodation during the application process due to a disability, please send an email to: and your request will be forwarded to the appropriate person. US Candidates Only: The EEO is the Law Poster describes discrimination protections under federal law. -----------------------------------------------------------20 - Professional (EEO-2 Job Categories-United States of America), IFTECH203 - Entry Professional (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)",1 Post,"Islamabad, Pakistan",Null,Null,16-Feb-23,https://www.rozee.pk/sp-global-market-intelligence-software-developer-i-java-ibm-open-pages-jobs-1349852?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1349852&utm_campaign=ROZEE.PK_job_search
